hotel_id,hotel_name,city,province,area,latitude,longitude,hotel_type,price_range,rating,review_count,amenities,nearby_attractions,tags,description,other_details
H0011,Dolakha Resort - 11,Dolakha,3,Central Dolakha,27.694424,85.27566,Luxury Hotel,3700-11100 NPR,4.1,453,Breakfast Included; Family Rooms; Lake View,Dolakha Bhimsen temple,temple; statues; sculpture; lakeside; cultural,"Dolakha Resort - 11 is a luxury hotel in Central Dolakha, Dolakha. Features include Breakfast Included, Family Rooms, Lake View. Close to Dolakha Bhimsen temple.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""temple"", ""statues"", ""sculpture""], ""discounts"": ""10% off on early bird bookings."", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0012,Lalitpur Palace,Lalitpur,3,Uku Bahal,27.681009,85.297758,Boutique Hotel,4400-6500 NPR,3.6,4438,Airport Shuttle; Free Parking; Restaurant,Uku Bahal,buddhist; temple; local-experience; monastery; spiritual,"Lalitpur Palace is a boutique hotel in Uku Bahal, Lalitpur. Features include Airport Shuttle, Free Parking, Restaurant. Close to Uku Bahal.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""buddhist"", ""temple"", ""local-experience""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0013,Sindhupalchowk Lodge,Sindhupalchowk,3,Panch Pokhari,27.670129,85.293425,Eco-Lodge,3100-10600 NPR,4.5,4562,Spa; Bar; Mountain View; Tour Desk; Breakfast Included; Bike Rental,Panch Pokhari,trekking; culture; family-friendly; hindu; trekking-base; lake,"Sindhupalchowk Lodge is a eco-lodge in Panch Pokhari, Sindhupalchowk. Features include Spa, Bar, Mountain View, Tour Desk. Close to Panch Pokhari.","{""best_time"": ""Aug,Sep-Nov"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""trekking"", ""culture"", ""family-friendly""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0014,Mahottari Resort,Mahottari,2,Central Mahottari,27.679446,85.327647,Boutique Hotel,7800-11300 NPR,3.6,566,Family Rooms; Swimming Pool; Room Service; Free Parking,Jaleshwor Mini Waterfall,family-friendly; budget; local-experience; photography; Local exploration,"Mahottari Resort is a boutique hotel in Central Mahottari, Mahottari. Features include Family Rooms, Swimming Pool, Room Service, Free Parking. Close to Jaleshwor Mini Waterfall.","{""best_time"": ""July–Sept"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""family-friendly"", ""budget"", ""local-experience""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0015,Dang Heritage Hotel - 15,Dang,5,Charinge Daha- Ghorahi Dang,27.710184,85.288851,Homestay,4000-6700 NPR,4.5,2467,Lake View; Airport Shuttle; Free WiFi; Hiking Tours; Swimming Pool; Tour Desk,Charinge Daha- Ghorahi Dang,near-temple; mountain-view; temple; scenery; hiking; lake,"Dang Heritage Hotel - 15 is a homestay in Charinge Daha- Ghorahi Dang, Dang. Features include Lake View, Airport Shuttle, Free WiFi, Hiking Tours. Close to Charinge Daha- Ghorahi Dang.","{""best_time"": ""Oct-Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""near-temple"", ""mountain-view"", ""temple""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Complimentary local sightseeing package on request.""}"
H0016,Dolakha Inn,Dolakha,3,Central Dolakha,27.692172,85.279465,Hostel,6600-12000 NPR,4.4,4343,Conference Hall; Mountain View; Swimming Pool,Dolakha Bhimsen temple,mountain-view; temple; statues; sculpture; cultural,"Dolakha Inn is a hostel in Central Dolakha, Dolakha. Features include Conference Hall, Mountain View, Swimming Pool. Close to Dolakha Bhimsen temple.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""mountain-view"", ""temple"", ""statues""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0017,Bara Residency,Bara,2,Gahawa Mai Temple,27.686905,85.282638,Lodge,2500-7300 NPR,4.3,2067,Airport Shuttle; Guide Services; Laundry,Gahawa Mai Temple,romantic; hindu; temple,"Bara Residency is a lodge in Gahawa Mai Temple, Bara. Features include Airport Shuttle, Guide Services, Laundry. Close to Gahawa Mai Temple.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""romantic"", ""hindu"", ""temple""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0018,Parbat Plaza,Parbat,4,Mahabhir Waterfall Rappelling/ Canyoning,27.714474,85.303101,Luxury Hotel,5400-6100 NPR,3.7,1231,Breakfast Included; Pet Friendly; Room Service; Conference Hall; Spa; Guide Services; Airport Shuttle,Mahabhir Waterfall Rappelling/ Canyoning,canyoning; rappelling; waterfall; adventure; wildlife,"Parbat Plaza is a luxury hotel in Mahabhir Waterfall Rappelling/ Canyoning, Parbat. Features include Breakfast Included, Pet Friendly, Room Service, Conference Hall. Close to Mahabhir Waterfall Rappelling/ Canyoning.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""canyoning"", ""rappelling"", ""waterfall""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0019,Butwal/Rupandehi Grand Hotel,Butwal/Rupandehi,5,Jitgadi Fort,27.684972,85.276168,Hostel,8000-15100 NPR,5.0,1276,Restaurant; Wake-up Service; Guide Services; Free WiFi,Jitgadi Fort,historical; trekking-base; fort,"Butwal/Rupandehi Grand Hotel is a hostel in Jitgadi Fort, Butwal/Rupandehi. Features include Restaurant, Wake-up Service, Guide Services, Free WiFi. Close to Jitgadi Fort.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""historical"", ""trekking-base"", ""fort""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0020,Kapilvastu Palace - 20,Kapilvastu,5,Central Kapilvastu,27.676486,85.32233,Eco-Lodge,2600-6400 NPR,4.7,3780,Mountain View; Free Parking; Tour Desk; Free WiFi; Bar,Tilaurakot Museum,trekking-base; sculpture; mountain-view; museum,"Kapilvastu Palace - 20 is a eco-lodge in Central Kapilvastu, Kapilvastu. Features include Mountain View, Free Parking, Tour Desk, Free WiFi. Close to Tilaurakot Museum.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""trekking-base"", ""sculpture"", ""mountain-view""], ""discounts"": ""10% off on early bird bookings."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Complimentary local sightseeing package on request.""}"
H0021,Taplejung Hotel - 21,Taplejung,1,Central Taplejung,27.710771,85.32062,Lodge,1000-3400 NPR,4.8,2149,Room Service; Laundry; Breakfast Included; Swimming Pool,Kanchanjunga national park,peaceful; trekking; rhododendrons; eco-friendly; trekking-base; wildlife,"Taplejung Hotel - 21 is a lodge in Central Taplejung, Taplejung. Features include Room Service, Laundry, Breakfast Included, Swimming Pool. Close to Kanchanjunga national park.","{""best_time"": ""Oct-Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""peaceful"", ""trekking"", ""rhododendrons""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0022,Mugu Heritage Hotel - 22,Mugu,6,Central Mugu,27.681405,85.272663,Luxury Hotel,800-4500 NPR,4.0,583,Tour Desk; Lake View; Swimming Pool; Mountain View; Bike Rental,Rara Lake,lake; horseriding; boating; eco-friendly; trekking-base; pond; camping,"Mugu Heritage Hotel - 22 is a luxury hotel in Central Mugu, Mugu. Features include Tour Desk, Lake View, Swimming Pool, Mountain View. Close to Rara Lake.","{""best_time"": ""Apr–Jun, Sept–Nov"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""lake"", ""horseriding"", ""boating""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Complimentary local sightseeing package on request.""}"
H0023,Palpa Hotel,Palpa,5,Tansen City,27.709896,85.292749,Budget Hotel,5800-11300 NPR,4.1,13,Mountain View; Bar; Guide Services; Lake View; Hiking Tours,Tansen City,wellness; historical; near-temple; scenery; cultural,"Palpa Hotel is a budget hotel in Tansen City, Palpa. Features include Mountain View, Bar, Guide Services, Lake View. Close to Tansen City.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""wellness"", ""historical"", ""near-temple""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Complimentary local sightseeing package on request.""}"
H0024,Hotel Narayani,Chitwan,3,Central Chitwan,27.548158,84.364531,Homestay,5000-11000 NPR,3.6,1934,Free Parking; Bar; Spa; Free WiFi; Breakfast Included,Crocodile Breeding Center,Photography; spiritual; Wildlife Observation,"Hotel Narayani is a homestay in Central Chitwan, Chitwan. Features include Free Parking, Bar, Spa, Free WiFi. Close to Crocodile Breeding Center.","{""best_time"": ""Oct–Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Photography"", ""spiritual"", ""Wildlife Observation""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Complimentary local sightseeing package on request.""}"
H0025,Taplejung Resort,Taplejung,1,Central Taplejung,27.681666,85.311781,Eco-Lodge,4100-8600 NPR,3.7,55,Guide Services; Free Parking; Restaurant,Fung funge waterfall,Waterfall; wellness; family-friendly; river; hiking,"Taplejung Resort is a eco-lodge in Central Taplejung, Taplejung. Features include Guide Services, Free Parking, Restaurant. Close to Fung funge waterfall.","{""best_time"": ""Oct-Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Waterfall"", ""wellness"", ""family-friendly""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0026,Lumbini Palace,Lumbini,5,Cycling Tours,27.6572,83.474479,Hostel,5400-11100 NPR,4.9,3635,Bike Rental; Guide Services; Conference Hall; Hiking Tours; Restaurant; Bonfire; Free Parking,Cycling Tours,mountain-view; Adventure; Sightseeing; lakeside; Nature,"Lumbini Palace is a hostel in Cycling Tours, Lumbini. Features include Bike Rental, Guide Services, Conference Hall, Hiking Tours. Close to Cycling Tours.","{""best_time"": ""Oct–Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""mountain-view"", ""Adventure"", ""Sightseeing""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0027,Pokhara Grand Hotel,Pokhara,4,Sarangkot,28.184249,83.972744,Homestay,3600-9300 NPR,4.8,670,Spa; Free Parking; Family Rooms; Wake-up Service,Sarangkot,near-temple; budget; eco-friendly; Sunrise View; Paragliding,"Pokhara Grand Hotel is a homestay in Sarangkot, Pokhara. Features include Spa, Free Parking, Family Rooms, Wake-up Service. Close to Sarangkot.","{""best_time"": ""October-April"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""near-temple"", ""budget"", ""eco-friendly""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0028,Dang Inn,Dang,5,Central Dang,27.68241,85.295209,Cottage,6500-7300 NPR,4.8,4726,Bonfire; Free WiFi; Pet Friendly; Mountain View; Family Rooms; Guide Services,Dandakhola ,river; birdwatching; scenery; lakeside; spiritual,"Dang Inn is a cottage in Central Dang, Dang. Features include Bonfire, Free WiFi, Pet Friendly, Mountain View. Close to Dandakhola .","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""river"", ""birdwatching"", ""scenery""], ""discounts"": ""10% off on early bird bookings."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0029,Soaltee Hotel,Kathmandu,3,Selfie hill,27.707368,85.334749,Luxury Hotel,6700-9900 NPR,4.8,1055,Conference Hall; Free WiFi; Family Rooms; Tour Desk; Airport Shuttle; Guide Services; Bike Rental,Selfie hill,family-friendly; scenary; offbeat; hill,"Soaltee Hotel is a luxury hotel in Selfie hill, Kathmandu. Features include Conference Hall, Free WiFi, Family Rooms, Tour Desk. Close to Selfie hill.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""family-friendly"", ""scenary"", ""offbeat""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0030,Syangja Lodge - 30,Syangja,4,Central Syangja,27.69025,85.322778,Homestay,7000-14400 NPR,3.9,680,Free WiFi; Conference Hall; Breakfast Included; Pet Friendly; Free Parking; Airport Shuttle,Malika Dhuri,hills; family-friendly; temple; romantic; hindu; mountains; lakeside,"Syangja Lodge - 30 is a homestay in Central Syangja, Syangja. Features include Free WiFi, Conference Hall, Breakfast Included, Pet Friendly. Close to Malika Dhuri.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""hills"", ""family-friendly"", ""temple""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0031,Kavre Grand Hotel,Kavre,3,Banepa ,27.698414,85.276863,Guesthouse,4600-9300 NPR,4.7,1384,Tour Desk; Swimming Pool; Restaurant; Mountain View; Wake-up Service; Free WiFi; Hiking Tours,Banepa ,trekking; culture; historical; heritage; hiking,"Kavre Grand Hotel is a guesthouse in Banepa , Kavre. Features include Tour Desk, Swimming Pool, Restaurant, Mountain View. Close to Banepa .","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""trekking"", ""culture"", ""historical""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0032,Palpa Palace - 32,Palpa,5,Central Palpa,27.707635,85.276114,Homestay,7800-10200 NPR,4.7,4646,Pet Friendly; Conference Hall; Guide Services,Mul Dhoka,palace; peaceful; historical; picnic spot; budget; hiking,"Palpa Palace - 32 is a homestay in Central Palpa, Palpa. Features include Pet Friendly, Conference Hall, Guide Services. Close to Mul Dhoka.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""palace"", ""peaceful"", ""historical""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0033,Parbat Grand Hotel,Parbat,4,Central Parbat,27.676332,85.327647,Eco-Lodge,6600-9600 NPR,4.2,4284,Tour Desk; Conference Hall; Bonfire; Hiking Tours; Guide Services,Panchase Panchadham,buddhist; pilgrimage; culture; mountain-view; hindu; trekking-base,"Parbat Grand Hotel is a eco-lodge in Central Parbat, Parbat. Features include Tour Desk, Conference Hall, Bonfire, Hiking Tours. Close to Panchase Panchadham.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""buddhist"", ""pilgrimage"", ""culture""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0034,Manang Residency - 34,Manang,4,Central Manang,27.715029,85.304191,Luxury Hotel,3600-4500 NPR,4.2,2672,Bonfire; Bar; Pet Friendly; Laundry,Milarepa Cave,buddhist; trekking; hills; cave; mountain-view; local-experience; landmarks; mountains; hiking,"Manang Residency - 34 is a luxury hotel in Central Manang, Manang. Features include Bonfire, Bar, Pet Friendly, Laundry. Close to Milarepa Cave.","{""best_time"": ""Sep-Nov, Mar-May"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""buddhist"", ""trekking"", ""hills""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Children under 6 stay free with parents.""}"
H0035,Lumbini Grand Hotel,Lumbini,5,Village Homestays,27.663681,83.470986,Hostel,7000-11400 NPR,4.5,4030,Free WiFi; Airport Shuttle; Mountain View; Free Parking; Family Rooms; Conference Hall,Village Homestays,Local cuisine; Photography; peaceful; culture; Cultural experience,"Lumbini Grand Hotel is a hostel in Village Homestays, Lumbini. Features include Free WiFi, Airport Shuttle, Mountain View, Free Parking. Close to Village Homestays.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Local cuisine"", ""Photography"", ""peaceful""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0036,Bajhang Heritage Hotel,Bajhang,7,Central Bajhang,27.714756,85.289847,Eco-Lodge,3000-8500 NPR,3.9,998,Lake View; Swimming Pool; Conference Hall; Restaurant,"Ramkot Danda,bajhang",near-temple; hill; scenery,"Bajhang Heritage Hotel is a eco-lodge in Central Bajhang, Bajhang. Features include Lake View, Swimming Pool, Conference Hall, Restaurant. Close to Ramkot Danda,bajhang.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""near-temple"", ""hill"", ""scenery""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0037,Darchula Hotel,Darchula,7,Central Darchula,27.701478,85.28698,Boutique Hotel,7600-11300 NPR,3.9,2966,Mountain View; Free WiFi; Conference Hall; Spa,Malikarjun temple,family-friendly; hindu; temple; local-experience,"Darchula Hotel is a boutique hotel in Central Darchula, Darchula. Features include Mountain View, Free WiFi, Conference Hall, Spa. Close to Malikarjun temple.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""family-friendly"", ""hindu"", ""temple""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0038,Lumbini Hotel,Lumbini,5,Tilaurakot (Ancient Shakya Capital),27.701308,83.476053,Resort,5500-10700 NPR,4.2,3618,Restaurant; Breakfast Included; Laundry; Bonfire; Swimming Pool,Tilaurakot (Ancient Shakya Capital),Heritage Walk; History; heritage,"Lumbini Hotel is a resort in Tilaurakot (Ancient Shakya Capital), Lumbini. Features include Restaurant, Breakfast Included, Laundry, Bonfire. Close to Tilaurakot (Ancient Shakya Capital).","{""best_time"": ""Oct–Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Heritage Walk"", ""History"", ""heritage""], ""discounts"": ""10% off on early bird bookings."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
