Destination,culture,adventure,wildlife,sightseeing,history,tags,province,Location,Category,Best_Time,Duration,
Ama dablam,0,5,2,5,0,"hiking, trekking,mouintains",1,Solukhumbu,Off-Beat,Oct-Apr,1-2 days,
Chukhung,0,4,0,2,0,"trekking,mountains",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
"Kunde, Nepal",3,3,3,0,0,"mountains, hiking",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
Hasina wetland,3,5,4,3,0,"trekking, picnic",1,Sunsari,Off-Beat,Nov-Feb,1 day,
Bhojpur,4,3,3,4,5,"hiking,temple,river",1,Bhojpur,Popular,Oct-Apr,1 day,
Koshi tappu wildlife reserve,0,5,5,2,0,"hiking, sighting, wildlife,  boat ride, tour",1,"Sunsari, Saptari, Udayapur",Popular,Nov–Feb,1–2 days,
"Bhedetar, dhankuta",0,3,0,3,0,"hiking, food tour",1,Dhankuta,Off-Beat,Oct-Apr,Half-day,
"Urlabari, jhapa",3,3,0,2,0,trekking,1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Mini mountain,0,5,0,0,0,"picnic, mountains,  family tour spot, river",1,Sunsari,Off-Beat,Oct-Apr,Half-day,
"Triyuga Baan, fattepur",0,3,0,0,4,"hiking, landmarks, river",1,Udayapur,Off-Beat,Oct-Apr,Half-day,
Mechinagar,0,4,0,0,2,"city Tour Destinations,Landmarks",1,Jhapa,Popular,Oct-Apr,Half-day,
Phakding,2,4,0,2,2,"trekking, hills ,Landmarks",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
"Shiv Jhatta, Dharan",0,5,0,3,0,"Hiking, Landmarks, waterfall, picnic spot",1,Sunsari,Off-Beat,Oct-Apr,Half-day,
Kongde ri,0,5,0,0,2,"Hiking, Hills, Landmarks, Trekking,mountain",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
Haleshi-maratika cave,3,4,0,2,2,"Tour, Hiking,Landmarks,Religious ",1,Khotang,Off-Beat,Oct-Apr,1 day,
Olangchung Gola,0,3,0,0,4,"Tour,Hiking,Hills, river",1,Taplejung,Off-Beat,Oct-Apr,1 day,
Itahari,0,4,3,3,0,"Parks,Tour, Terai,Trekking ",1,Sunsari,Popular,Oct-Apr,Half-day,
"Pathivara temple,taplejung",3,3,0,4,5,"Hiking,Mountains, Religious shrine",1,Taplejung,Popular,Oct-Apr,1 day,
Budhasubba,3,0,0,3,5,"Religious shrine, river",1,Sunsari,Popular,Oct-Apr,2-3 hrs,
"Sriyantuu, ilam",0,3,0,2,0,"Tour,Hills,Landmarks,picnic spot",1,Illam,Off-Beat,Oct-Apr,Half-day,
Namchebazaar,3,3,0,2,0,"hills, trekking",1,Solukhumbu,Popular,Oct-Apr,1 day,
"kerabar,morang",3,0,0,2,0,"Tour,Landmarks,Trekking ",1,Morang,Off-Beat,Oct-Apr,Half-day,
Gairi pangma,4,3,0,0,3,"Tour,Hiking,Landmarks",1,Sankhuwasabha,Off-Beat,Oct-Apr,Half-day,
Mechi bridge,0,3,0,2,3,"Tour,Landmarks, river, terai",1,Jhapa,Off-Beat,Oct-Apr,2-3 hrs,
Nuptse,0,5,0,0,2,"Tour,Hiking,Landmarks,Trekking,mountain",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
Solududhkunda,3,4,0,0,3,"Tour, Hiking, Landmarks,Trekking",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
Dughla,2,5,0,0,0,"Hiking,Landmarks,Trekking,lake,mountain",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
khumjung,3,0,3,0,2,"Hiking,Landmarks,Trekking",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
"Mude, sankhuwasabha",3,0,0,3,4,"Food Tour, Hiking,Hilly,Mountain",1,Sankhuwasabha,Off-Beat,Oct-Apr,Half-day,
Gokulam resort,0,3,0,0,0,"Tour,Hiking ,Terai",1,Sunsari,Off-Beat,Oct-Apr,Half-day,
"Smile park, damak",0,3,0,2,0,"Tour, Landmarks, Terai, picnic spot",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
"Gokyo lake, solukhumbu",0,4,0,0,0,"Tour,Landmarks,Religious shrine,lake",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
Diktel,3,0,0,2,0,"Tour,Landmarks",1,Khotang,Off-Beat,Oct-Apr,Half-day,
"Dole, Nepal",0,4,0,0,0,"Tour,Landmarks,hills",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
Pangboche,3,3,0,0,4,"Tour,Landmarks,hills",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
Gyachung kang,0,5,0,0,0,"Trekking,Landmarks,hiking, mountain ",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
"Hile, dhankuta",3,4,0,0,3,"Trekking,Landmarks,hiking, hills",1,Dhankuta,Off-Beat,Oct-Apr,Half-day,
Lukla,0,3,0,0,3,"Arts and Entertainment, Landmarks",1,Solukhumbu,Popular,Oct-Apr,Half-day,
Pakhribas,3,0,0,2,0,"Landmarks, tour",1,Dhankuta,Off-Beat,Oct-Apr,Half-day,
Pindeshwor temple,3,0,0,0,4,"Tour,Landmarks,hiking,terai",1,Jhapa,Popular,Oct-Apr,Half-day,
Thechambu,3,0,0,0,3,"Tour,Landmarks,hiking",1,Taplejung,Off-Beat,Oct-Apr,Half-day,
Machhermo,0,4,0,0,2,"Tour,Landmarks,hiking",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
Chaurikharka,0,5,0,0,3,"Tour,Landmarks,hiking,Nightlife",1,Solukhumbu,Off-Beat,Oct-Apr,Half-day,
Shivgunj,3,0,0,0,3,"Terai, Landmarks, tour",1,Sunsari,Off-Beat,Oct-Apr,Half-day,
"Temke danda, bhojpur",5,3,0,0,4,"hiking, hills,landmarks,mountain",1,Bhojpur,Off-Beat,Oct-Apr,Half-day,
Birtamod,2,4,0,3,2,"Nightclubs, terai, tour",1,Jhapa,Popular,Oct-Apr,Half-day,
Panchthar,3,4,3,5,4,"hiking, hills, trekking, red panda, wildlife",1,Panchthar,Off-Beat,Oct-Apr,1 day,
Kanchanjunga national park,0,3,5,5,0,"trekking, wildlife, rhododendrons",1,Taplejung,Off-Beat,Oct-Apr,1-2 days,
Khangchendzonga national park,0,4,5,3,0,"trekking, wildlife,lakes,river",1,Taplejung,Off-Beat,Oct-Apr,Half-day,
Tamur river,0,5,0,0,0,"River,adventure",1,Taplejung,Off-Beat,Oct-Apr,Half-day,
Fung funge waterfall,0,4,0,0,0,"Waterfall,river",1,Taplejung,Off-Beat,Oct-Apr,Half-day,
Hyatrung waterfall,0,4,0,0,0,"waterfall,river",1,Terhathum,Off-Beat,Oct-Apr,Half-day,
Tinjure hill,0,4,0,3,2,"Hill, mountain, trekking",1,Terhathum,Off-Beat,Oct-Apr,Half-day,
Singhabahini temple,3,0,0,0,4," Religious shrine, temple",1,Terhathum,Popular,Oct-Apr,2-3 hrs,
Shree Antu,4,3,0,0,0,"pond, farm",1,Illam,Popular,Oct-Apr,Half-day,
Siddhithumka ,3,4,2,2,0,"cave, falls, farm",1,Illam,Off-Beat,Oct-Apr,Half-day,
Gajurmukhi,4,3,0,3,3,"river, religious shrine, temple",1,Terhathum,Popular,Oct-Apr,Half-day,
Todke falls,0,3,0,0,0,"waterfall, river",1,Terhathum,Off-Beat,Oct-Apr,Half-day,
Hangetham/ Choyatar forest,0,4,5,3,0,"Red panda,Buddhist pilgrimage, Religious Shrine",1,Taplejung,Off-Beat,Oct-Apr,1 day,
Indreshwor mahadev,4,0,0,3,4,"Temple, pilgrimage, religious shrine",1,Dhankuta,Popular,Oct-Apr,Half-day,
Gupteshwor Mahadev,4,3,0,3,4,"cave, religious shrine, temple",1,Dhankuta,Popular,Oct-Apr,Half-day,
Gupha pokhari,0,4,0,0,3,"cave,pond, trekking,lake,mountain",1,Illam,Off-Beat,Oct-Apr,Half-day,
Pattek hill,2,3,0,0,0,"hills, trekking",1,Illam,Off-Beat,Oct-Apr,Half-day,
Milke dada,2,4,0,0,0,"mountain, rhododendron, trekkking",1,Illam,Off-Beat,Oct-Apr,Half-day,
Panchakanya pokhari,3,2,0,2,2,"pond, temple",1,Terhathum,Off-Beat,Oct-Apr,Half-day,
Makalu barun national park,0,5,4,2,0,"trekking, wildlife,lakes,river",1,Sankhuwasabha,Off-Beat,Oct-Apr,1-2 days,
Chinnamasta Bhagawati,5,0,0,3,5,"hindu,temple",2,Saptari,Off-Beat,Oct-Mar,Half-day,
Kankalini Temple,5,0,0,3,3,"hindu,temple",2,Saptari,Popular,Oct-Mar,2-3 hrs,
Kanakpatti Palace,3,0,0,4,5,"palace, landmarks",2,Saptari,Off-Beat,Oct-Mar,Half-day,
Rajdevi Temple,5,0,0,3,1,"hindu,temple",2,Saptari,Popular,Oct-Mar,2-3 hrs,
Chandrabhoga Gadhi,5,0,0,5,5,"landmarks, art",2,Saptari,Off-Beat,Oct-Mar,Half-day,
Shambhunath Temple,5,0,0,3,1,"hindu, temple ",2,Saptari,Popular,Oct-Mar,2-3 hrs,
Rajbiraj,5,0,0,4,3,"city, landmarks, terai region",2,Saptari,Popular,Oct-Mar,1 day,
"Vishnu Temple, Saptari",5,0,0,3,1,"hindu, temple",2,Saptari,Popular,Oct-Mar,2-3 hrs,
Khodardevi Cave,3,4,0,4,0,"cave, landmarks",2,Saptari,Off-Beat,Oct-Mar,Half-day,
 Lahan Bazar,3,0,0,3,2,"city,landmarks",2,Siraha,Popular,Oct-Mar,Half-day,
"Fulbari , Siraha",1,0,0,3,0,"city, garden, landmarks",2,Siraha,Off-Beat,Oct-Mar,Half-day,
Kamal Dah,0,0,2,5,0,lake,2,Siraha,Off-Beat,Oct-Mar,Half-day,
Kamala River,3,0,3,5,0,river,2,Siraha,Off-Beat,Oct-Mar,Half-day,
Manik Dah,0,0,2,5,2,lake,2,Siraha,Off-Beat,Oct-Mar,Half-day,
Janaki Mandir,5,0,0,5,5,"hindu, temple",2,Janakpur,Popular,Oct-Mar,Half-day,
Ram Mandir,5,0,0,5,5,"hindu, temple",2,Janakpur,Popular,Oct-Mar,Half-day,
Jaleshwar ,5,0,3,5,5,"hindu, temple , pond, park",2,Mahottari,Popular,Oct-Mar,Half-day,
Vivah Mandap,5,0,0,5,5,"hindu, temple , pond, park",2,Janakpur,Popular,Oct-Mar,2-3 hrs,
Ratna Sagar,5,0,3,5,5,"hindu, temple , pond, park",2,Janakpur,Popular,Oct-Mar,Half-day,
 Sarlahi Devi Temple,5,0,0,3,1,"hindu, temple",2,Sarlahi,Popular,Oct-Mar,Half-day,
Gadhimai Temple,5,0,0,3,1,"hindu, temple",2,Bara,Popular,Dec (festival),Half-day,
Rautahat,3,2,3,4,2,"city, muslim, landmarks",2,Rautahat,Popular,Oct-Mar,1 day,
Parsa National Park,0,1,5,5,2,"national park, wildlife, landmarks",2,Parsa,Off-Beat,Nov-Feb,1 day,
Maha Gadhimai,5,0,0,3,4,"hindu, temple",2,Bara,Popular,Dec (festival),Half-day,
Churiya Mai Temple,5,0,0,4,3,"hindu, temple",2,Bara,Popular,Oct-Mar,Half-day,
Gadhimai Temple Jeetpur,5,0,0,3,1,"hindu, temple",2,Bara,Popular,Dec (festival),Half-day,
Gateway of Nepal (Shankaracharya Gate),0,0,0,3,5,"landmarks, history, border",2,"Birgunj, Parsa",Popular,Oct-Mar,Half-day,
Ghadiarwa Pokhari – Birgunj,2,0,0,5,0,"hindu, temple, pond",2,Parsa,Off-Beat,Oct-Mar,Half-day,
Gahawa Mai Temple,4,0,0,3,1,"hindu, temple",2,Bara,Popular,Oct-Mar,Half-day,
Parasnath Temple,4,0,0,3,1,"hindu, temple",2,Bara,Popular,Oct-Mar,Half-day,
 Vata Mandir,4,0,0,3,1,"hindu, temple",2,Bara,Popular,Oct-Mar,Half-day,
Pashupatinath temple,5,0,0,5,5,"Heritage,statues,temple,Religious shrine",3,Kathmandu,Popular,All Year,1-2 hrs,
Hanumandhoka palace,5,1,0,5,5,"Temple,sightseeing, historical",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Chitwan national park,3,5,5,5,3,"trekking, wildlife,lakes,river",3,Chitwan,Popular,Oct–Apr,Half-day to 1 day,
Kalinchowk bhagwati temple,4,0,0,3,4,"Temple,sightseeing,Religious",3,Dolakha,Popular,"Nov-Feb(Snow), Mar-May(Trekking)",1-2 hrs,
Baudhanath stupa,3,0,0,2,3,"Temple,statues",3,Kathmandu,Popular,All Year,1-2 hrs,
Gosaikunda lake,0,4,0,2,3,"lake,trekking,mountain",3,Rasuwa,Popular,"Aug (Janai Purnima), Mar–May, Sep–Nov",3-5 days,
Saping village,4,2,0,3,2,"hill,village,cultural,trekking",3,Kavre,Off-Beat,"Mar-May, Sep-Nov",1-2 days,
Patan durbar square,4,0,0,3,4,"temples,statues,cultural,sculpture",3,Lalitpur,Popular,All Year,Half-day to 1 day,
Changunarayan temple,3,0,0,3,4,"temples,statues,cultural,sculpture",3,Bhaktapur,Popular,All Year,Half-day to 1 day,
Bhaktapur durbar square,3,0,0,3,5,"temples,statues,cultural,sculpture,museum",3,Bhaktapur,Popular,All Year,Half-day to 1 day,
Nagarkot,3,3,0,4,4,"hiking, trekking, picnic spot",3,Bhaktapur,Popular,Oct-Apr,1 day or overnight,
Indra sarovar lake,1,4,0,2,5,"lake, pond, cultural, boat tour",3,Makwanpur,Off-Beat,Oct-Apr,Half-day to 1 day,
Swayambhunath temple,3,0,0,3,5,"temple,statues,cultural,sculpture",3,Kathmandu,Popular,All Year,1-2 hrs,
Panauti,3,2,0,2,2,"hiking, cycling",3,Kavre,Off-Beat,All Year,Half-day to 1 day,
Dolakha Bhimsen temple,3,0,0,3,4,"temple,statues,cultural,sculpture",3,Dolakha,Popular,All Year,Half-day to 1 day,
Shailung Hills,0,3,0,3,3,"hill,trekking",3,Dolakha,Off-beat,"Sep-Nov, Mar-May",2–3 days,
Jiri,3,2,0,3,0,"hill,trekking",3,Dolakha,Off-beat,"Sep-Nov, Mar-May",1-2 days,
Gaurishankar conservation area,0,4,5,3,0,"red panda, mountain, hills, trekking",3,Dolakha/Ramechaap,Off-beat,"Sep-Nov, Mar-May",3-5 days,
Jilu Village,3,0,0,2,3,"cultural, village",3,Dolakha,Off-beat,All Year,1 day,
Tsho Rolpa,0,5,0,2,0,"lake, pond, trekking",3,Dolakha,Off-beat,"Apr-May, Sep-Nov",4-6 days,
Tasi Gumba,4,2,0,3,4,"hindu, buddhist,monastery",3,Ramechaap/Dolakha,Off-beat,All Year,Half-day to 1 day,
Langtang Himal,0,5,0,0,0,"mountain, hills, trekking",3,Rasuwa,Popular,"Sep-Nov, Mar-May",7-10 days,
Langtang National Park,0,4,4,3,0,"trekking, wildlife.mountain,hills",3,Rasuwa,Popular,"Sep-Nov, Mar-May",5-7 days,
Gosaikunda,0,4,0,3,3,"lake,pond,mountain,trekking",3,Rasuwa,Popular,"Aug, Mar-May, Sep-Nov",3-5 days,
Tamang heritage and Langtang Valley,4,0,0,2,3,"village, scenary, trekking",3,Rasuwa,Off-beat,"Sep-Nov, Mar-May",5-7 days,
Singa La Pass Trek,0,5,0,3,0,"trekking, scenary,village,mountain, hills",3,Langtang-Manaslu Region,Off-beat,"Apr-May, Sep-Nov",10-14 days,
Trishuli River ,0,5,0,3,0,"rafting, river, trekking",3,Nuwakot/Dhading,Popular,Oct-May,Half-day to 1 day,
Ruby Valley Trek,0,4,0,2,0,"trekking, mountain, hills, scenery",3,Dhading,Off-beat,"Sep-Nov, Mar-May",5-7 days,
Ganga Jamuna Trek,0,4,0,2,0,"trekking, mountain, hills, scenery",3,Dhading,Off-beat,"Sep-Nov, Mar-May",3-5 days,
Ganesh Himal Trek,0,5,0,3,0,"trekking,mountain,hills, scenery",3,Dhading/Rasuwa,Off-beat,"Sep-Nov, Mar-May",7-10 days,
Jyamrung Trek,0,4,0,3,0,"trekking,mountain,hills, scenery",3,Dhading,Off-beat,"Sep-Nov, Mar-May",2-3 days,
Tripurasundari Mai,4,0,0,4,3,"temple,hindu, cultural",3,Dhading,Popular,All Year,Half-day to 1 day,
Nuwakot Durbar,4,0,0,3,5,"cultural, historical",3,Nuwakot,Popular,All Year,Half-day to 1 day,
Langtang Valley,2,3,0,3,0,"trekking, scenery, rhododendron",3,Rasuwa,Popular,"Sep-Nov, Mar-May",5-7 days,
Kulekhani Dam,0,0,0,3,0,"dam, river, boat tour",3,Makwanpur,Off-beat,Oct-Apr,Half-day to 1 day,
Dhaulagiri of Nepal,0,5,0,0,0,"mountain,scenary,trekking",3,Mustang/Myagdi,Off-beat,"Apr-May, Sep-Nov",14-21 days,
Daman ,3,3,0,3,4,"hills, mountain, picnic spot",3,Makwanpur,Off-beat,Oct-Apr,Half-day to 1 day,
Kyanjin Ri ,0,4,0,3,0,"hills, mountain, trekking",3,Langtang Valley,Off-beat,"Sep-Nov, Mar-May",1 day,
Thamel,2,3,0,4,0,"club, casino, tour, scultptures",3,Kathmandu,Popular,All Year,Flexible,
Freak Street,3,0,0,3,3,"street, tour,club, sculptures",3,Kathmandu,Popular,All Year,Flexible,
Asan Tole,4,1,0,4,3,"sculpture, hindu, temple, cultural",3,Kathmandu,Popular,All Year,Flexible,
Garden Of Dreams,0,2,0,3,3,"Garden, pond",3,Kathmandu,Popular,All Year,1-2 hrs,
Kopan Monastery,3,0,0,2,3,"monastery, buddhist",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Kumari Bahal,4,0,0,2,5,"hindu, historical, buddhist",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Chabahil Stupa,4,2,0,3,3,"buddhist, hindu, cultural",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Champa Devi Temple (Hiking Trail),4,4,0,3,3,"hiking, temple, religious shrine",3,Kathmandu,Off-beat,Oct-Apr,Half-day to 1 day,
Bungmati Village,0,4,0,3,2,"hiking, temple",3,Lalitpur,Off-beat,All Year,Half-day to 1 day,
Patan,4,2,0,4,5,"cultural, historical",3,Lalitpur,Popular,All Year,Half-day to 1 day,
Chhauni Museum,4,0,0,3,0,"museum, cultural",3,Kathmandu,Popular,All Year,1-2 hrs,
Ashok Binayak Temple,4,0,0,2,4,"temple, hindu, buddhist",3,Kathmandu,Popular,All Year,1 hr,
Phulchowki,0,5,0,3,0,"hill, trekking, hiking, picnic spot",3,Lalitpur,Off-beat,"Mar-May,Oct-Apr",1 day,
Shivapuri Nagarjun National Park,0,4,5,4,3,"trekking, hills, hiking, waterfall, wildlife",3,Kathmandu,Off-beat,All Year,1 day,
Taudaha Lake,0,3,0,2,5,"lake, pond, historical",3,Kathmandu,Off-beat,Oct-Apr,1-2 hrs,
Narayanhiti Palace,0,0,0,3,4,"historical,tour",3,Kathmandu,Popular,All Year,1-2 hrs,
 Hanuman Dhoka,4,0,0,4,4,"temples, cultural",3,Kathmandu,Popular,All Year,Half-day to 1 day,
The Royal Botanical Gardens,0,0,0,3,0,"garden,pond",3,Lalitpur,Off-beat,Mar-May,Half-day to 1 day,
The White Monastery,3,2,0,2,4,"monastery, buddhist",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Thimi,3,0,0,4,3,"cultural, temples",3,Bhaktapur,Popular,All Year,Half-day to 1 day,
The Toothache Tree(Vaisha Dev Shrine),5,0,0,3,5,"Religious Shrine, temple",3,Kathmandu,Off-beat,All Year,1 hr,
 Kakani ,3,5,0,4,3,"cycling, biking, picnic spot, farm",3,Nuwakot,Off-beat,Oct-Apr,Half-day to 1 day,
Taumadhi Square,3,0,0,3,3,"sculpture, hindu, temple",3,Bhaktapur,Popular,All Year,Half-day to 1 day,
Dattatraya and pottery Square,3,0,0,3,4,"picnic spot,hiking,temple",3,Bhaktapur,Popular,All Year,Half-day to 1 day,
Pilot Baba Ashram,4,4,0,3,4,"hiking, scenery, temple",3,Bhaktapur,Off-beat,All Year,Half-day to 1 day,
Kailashnath temple,3,0,0,3,4,"temple, statue,",3,Bhaktapur/Kavre,Popular,All Year,Half-day to 1 day,
Ranikot,0,3,0,3,0,"hiking, trekking, picnic spot",3,Bhaktapur,Off-beat,Oct-Apr,Half-day to 1 day,
Siddha Pokhari,3,3,0,3,4,"pond, lake, temples, sculptures",3,Bhaktapur,Popular,All Year,1 hr,
Trishul Danda,3,3,0,2,3,"hill, temple",3,Bhaktapur,Off-beat,All Year,Half-day to 1 day,
Ghyampe Danda,3,3,0,1,2,"hill, temple",3,Bhaktapur,Off-beat,All Year,Half-day to 1 day,
Latarambeshwor,3,0,0,2,4,"temple,hill",3,Bhaktapur,Off-beat,All Year,Half-day to 1 day,
Subarneshwor Mahadev temple,4,0,0,3,4,"hindu,temple, hill",3,Lalitpur,Off-beat,All Year,Half-day to 1 day,
Anantalingeshwor Mahadev temple,4,0,0,4,3,"hindu, temple, rhododendron,pond",3,Lalitpur,Off-beat,Mar-May,Half-day to 1 day,
Kalamasi,0,4,0,3,0,"dam-site, picnic spot, pond",3,Bhaktapur,Off-beat,Oct-Apr,Half-day to 1 day,
Nil Barahi Temple,3,0,0,3,4,"hindu, temple",3,Pokhara,Popular,All Year,1 hr,
Gundu,3,0,0,3,3,"hiking, hill",3,Bhaktapur,Off-beat,All Year,Half-day to 1 day,
Mahamanjushree Temple,4,0,0,4,4,"hill, temple, religious shrine",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Uku Bahal,4,0,0,3,4,"buddhist, temple, monastery",3,Lalitpur,Popular,All Year,1-2 hrs,
Sundari Chowk,3,0,0,3,2,"statues, temple, pond",3,Lalitpur,Popular,All Year,1-2 hrs,
Bhimsen Temple,4,0,0,4,5,"temple, statues",3,Lalitpur,Popular,All Year,1-2 hrs,
Hari Shanker Temple,3,0,0,2,3,"hindu, temple, statues",3,Lalitpur,Popular,All Year,1-2 hrs,
Mahaboudha Temple,4,0,0,3,3,"temple, hindu, buddhist",3,Lalitpur,Popular,All Year,1-2 hrs,
Mangal Bazaar,3,0,0,3,2,"temple, statues, cultural",3,Lalitpur,Popular,All Year,Half-day to 1 day,
Rani pokhari,3,0,0,2,5,"pond, temple",3,Kathmandu,Popular,Oct-Apr,1 hr,
Dhulikhel,3,4,0,3,0,"hill,hiking,trekking,picnic spot",3,Kavre,Popular,Oct-Apr,Half-day to 1 day,
Banepa ,3,0,0,3,0,"historical,hiking,trekking",3,Kavre,Off-beat,All Year,Half-day to 1 day,
Namo Buddha Monastery,4,0,0,3,4,"monsatery, buddhist",3,Kavre,Popular,All Year,Half-day to 1 day,
Dolalghat,3,4,0,4,4,"hiking,river,trekking",3,Kavre,Off-beat,Oct-Apr,Half-day to 1 day,
Sankhu,4,0,0,3,3,"temple, cultural, sculptures, statues",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Budhanilkantha temple,5,0,0,4,5,"statues, temple, pond",3,Kathmandu,Popular,All Year,1-2 hrs,
Hiledevi Temple,3,0,0,3,3,"temple, statues, hindu",3,Kathmandu,Off-beat,All Year,1 hr,
Gaukhureshor Mahadev Temple,4,0,0,3,4,"hindu, temple, statues",3,Kathmandu,Off-beat,All Year,1 hr,
Dhaaraapani (Dhungedhaaraa),3,0,0,2,4,"statues, temple, pond",3,Kathmandu,Off-beat,All Year,1 hr,
Howaang Chhiring Monastery,3,0,0,2,4,"monastery, buddhist",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Kyaama Monastery,3,0,0,2,3,"monsatery, buddhist",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Dakshinkali,5,5,0,4,5,"pond, temple,religious shrine,hiking,cycling",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Guhyeshwari temple,4,0,0,2,3,"Religious Shrine, temple",3,Kathmandu,Popular,All Year,1 hr,
Kandadevi,3,0,0,2,3,"temple,pond",3,Kathmandu,Off-beat,All Year,1 hr,
Nagi gumba,3,4,0,3,3,"buddhist, temple,hiking",3,Kathmandu,Off-beat,All Year,Half-day to 1 day,
Panch Pokhari,1,2,0,3,3,"hindu,lake,trekking",3,Sindhupalchowk,Off-beat,"Aug,Sep-Nov",3-5 days,
Jatapokhari,1,2,0,2,2,"hindu,lake,trekking",3,Sindhupalchowk,Off-beat,Sep-Nov,2-3 days,
Thodung Monastery,4,2,0,2,4,"buddhist,monastery",3,Dolakha,Off-beat,All Year,Half-day to 1 day,
Gaurishankar ,0,5,0,3,3,"mountain, trekking",3,Dolakha,Off-beat,"Apr-May, Sep-Nov",10-14 days,
Sundarijal,0,5,0,3,2,"Picnic spot,hiking,waterfall",3,Kathmandu,Popular,All Year,Half-day to 1 day,
Sindhuli gadhi,3,4,0,3,3,"fort, trekking,hiking",3,Sindhuli,Off-beat,All Year,Half-day to 1 day,
