activity_id,activity_name,destination,type,duration,price_npr,season,tags,description
A0032,Cultural Tour - Maulipokhara,Maulipokhara,Cultural,3 hrs,15000,Spring,adventure; culture; offbeat; trekking,"A thrilling cultural tour in Maulipokhara, ideal for couples."
A0033,Hiking - Chhapru Mahadev,Chhapru Mahadev,Photo Tour,6 hrs,8200,Winter,adventure; offbeat,"A thrilling hiking in Chhapru Mahadev, ideal for families."
A0034,Rafting - Devi's Fall,Devi's Fall,Photo Tour,8 hrs,6500,All Year,culture; offbeat; local-experience; food,"A relaxing rafting in Devi's Fall, ideal for couples."
A0035,"Rafting - Bijauri, Chillikot","Bijauri, Chillikot",Cultural,5 hrs,5700,Spring,wildlife; relaxation; local-experience; trekking,"A guided rafting in Bijauri, Chillikot, ideal for adventure seekers."
A0036,Rafting - Lamjung,Lamjung,Adventure,8 hrs,9200,Winter,culture; relaxation,"A guided rafting in Lamjung, ideal for couples."
A0037,Paragliding - Latarambeshwor,Latarambeshwor,Photo Tour,3 hrs,7700,Autumn,culture; heritage; trekking,"A guided paragliding in Latarambeshwor, ideal for solo travelers."
A0038,Cycling - Dattatraya and pottery Square,Dattatraya and pottery Square,Relaxation,1 hrs,4600,All Year,trekking; culture; heritage,"A thrilling cycling in Dattatraya and pottery Square, ideal for families."
A0039,Jungle Safari - Pindeshwor temple,Pindeshwor temple,Adventure,5 hrs,7400,Summer,heritage; wildlife,"A thrilling jungle safari in Pindeshwor temple, ideal for couples."
A0040,Cultural Tour - Guerilla Trek,Guerilla Trek,Workshop,6 hrs,9400,Summer,adventure; local-experience; heritage; trekking,"A guided cultural tour in Guerilla Trek, ideal for families."
A0041,Hiking - Sabha Pokhari,Sabha Pokhari,Sightseeing,1 hrs,10800,Summer,offbeat; local-experience,"A immersive hiking in Sabha Pokhari, ideal for adventure seekers."
A0042,"Paragliding - Bungee Jump, Sky Cycling And Adventure Swing in Parbat","Bungee Jump, Sky Cycling And Adventure Swing in Parbat",Relaxation,6 hrs,3300,Winter,photography; culture; heritage; food,"A relaxing paragliding in Bungee Jump, Sky Cycling And Adventure Swing in Parbat, ideal for solo travelers."
A0043,Paragliding - Kalamasi,Kalamasi,Cultural,4 hrs,5800,Winter,food; culture; photography; trekking,"A guided paragliding in Kalamasi, ideal for solo travelers."
A0044,Paragliding - Hari Shanker Temple,Hari Shanker Temple,Cultural,2 hrs,1600,All Year,heritage; food,"A immersive paragliding in Hari Shanker Temple, ideal for couples."
A0045,Cycling - Jagadishpur,Jagadishpur,Workshop,1 hrs,1900,Winter,photography; adventure,"A thrilling cycling in Jagadishpur, ideal for solo travelers."
A0046,Rafting - Dudhpokhari,Dudhpokhari,Cultural,5 hrs,12700,All Year,offbeat; trekking,"A thrilling rafting in Dudhpokhari, ideal for solo travelers."
A0047,Rafting - Mahashila,Mahashila,Adventure,1 hrs,13000,All Year,trekking; wildlife,"A relaxing rafting in Mahashila, ideal for families."
A0048,Jungle Safari - Sindhupalchowk,Sindhupalchowk,Boat Ride,4 hrs,5300,All Year,culture; offbeat,"A relaxing jungle safari in Sindhupalchowk, ideal for families."
A0049,Temple Visit - Jagat,Jagat,Wildlife,3 hrs,11200,Winter,offbeat; local-experience,"A immersive temple visit in Jagat, ideal for solo travelers."
A0050,Zipline - Himalchuli Mountain,Himalchuli Mountain,Workshop,2 hrs,9500,Spring,relaxation; wildlife,"A relaxing zipline in Himalchuli Mountain, ideal for adventure seekers."
A0051,Cultural Tour - Mustang/Myagdi,Mustang/Myagdi,Photo Tour,4 hrs,7200,All Year,wildlife; culture,"A guided cultural tour in Mustang/Myagdi, ideal for solo travelers."
A0052,Cycling - Bandipur,Bandipur,Workshop,1 hrs,1100,Spring,culture; relaxation,"A guided cycling in Bandipur, ideal for solo travelers."
A0053,Cultural Tour - Jumla,Jumla,Photo Tour,6 hrs,7900,All Year,food; trekking; wildlife,"A thrilling cultural tour in Jumla, ideal for solo travelers."
A0054,Zipline - Mul Dhoka,Mul Dhoka,Trekking,1 hrs,8700,Winter,adventure; local-experience; trekking,"A thrilling zipline in Mul Dhoka, ideal for families."
A0055,Boating - Ramechaap/Dolakha,Ramechaap/Dolakha,Relaxation,8 hrs,14800,All Year,heritage; trekking,"A thrilling boating in Ramechaap/Dolakha, ideal for solo travelers."
A0056,"Cultural Tour - Bhedetar, dhankuta","Bhedetar, dhankuta",Adventure,6 hrs,13100,Summer,wildlife; adventure,"A immersive cultural tour in Bhedetar, dhankuta, ideal for adventure seekers."
A0057,Temple Visit - Gadhi Mai Temple Forest Area,Gadhi Mai Temple Forest Area,Festival Tour,3 hrs,9500,All Year,adventure; culture; offbeat,"A relaxing temple visit in Gadhi Mai Temple Forest Area, ideal for solo travelers."
A0058,Cycling - Lalitpur,Lalitpur,Workshop,5 hrs,3900,Spring,heritage; photography,"A relaxing cycling in Lalitpur, ideal for adventure seekers."
A0059,Jungle Safari - Taumadhi Square,Taumadhi Square,Workshop,3 hrs,6800,Spring,food; trekking,"A relaxing jungle safari in Taumadhi Square, ideal for families."
A0060,Zipline - Taplejung,Taplejung,Wildlife,4 hrs,2300,Summer,trekking; heritage,"A guided zipline in Taplejung, ideal for adventure seekers."
A0061,Cycling - The White Monastery,The White Monastery,Adventure,6 hrs,5900,Winter,trekking; photography; wildlife,"A thrilling cycling in The White Monastery, ideal for adventure seekers."
A0062,Jungle Safari - The White Monastery,The White Monastery,Relaxation,8 hrs,12900,Summer,wildlife; photography; trekking,"A relaxing jungle safari in The White Monastery, ideal for solo travelers."
A0063,Bird Watching - Rani pokhari,Rani pokhari,Photo Tour,8 hrs,6800,Spring,local-experience; heritage; trekking,"A guided bird watching in Rani pokhari, ideal for couples."
A0064,Paragliding - Thalthapi Mai Bhagwati Temple,Thalthapi Mai Bhagwati Temple,Photo Tour,6 hrs,11900,Autumn,photography; food,"A relaxing paragliding in Thalthapi Mai Bhagwati Temple, ideal for solo travelers."
A0065,Paragliding - Gulmi,Gulmi,Festival Tour,4 hrs,2100,Spring,local-experience; adventure; food,"A guided paragliding in Gulmi, ideal for couples."
A0066,Cycling - Tharu Cultural Program,Tharu Cultural Program,Sightseeing,4 hrs,7100,Spring,adventure; food; trekking; culture,"A immersive cycling in Tharu Cultural Program, ideal for solo travelers."
A0067,Jungle Safari - Baudhanath stupa,Baudhanath stupa,Boat Ride,1 hrs,13200,Winter,heritage; adventure,"A guided jungle safari in Baudhanath stupa, ideal for solo travelers."
A0068,Cultural Tour - Parbat,Parbat,Sightseeing,8 hrs,10400,Summer,adventure; culture; food; photography,"A thrilling cultural tour in Parbat, ideal for adventure seekers."
A0069,Cooking Class - Central Zoo,Central Zoo,Adventure,6 hrs,14800,All Year,culture; photography,"A immersive cooking class in Central Zoo, ideal for families."
A0070,Temple Visit - Khaiharwa Pokhari,Khaiharwa Pokhari,Wildlife,3 hrs,12900,All Year,photography; offbeat,"A thrilling temple visit in Khaiharwa Pokhari, ideal for solo travelers."
A0071,Boating - Kamala River,Kamala River,Sightseeing,2 hrs,14800,Spring,heritage; trekking; local-experience; wildlife,"A immersive boating in Kamala River, ideal for couples."
A0072,Paragliding - Kaski,Kaski,Boat Ride,1 hrs,10500,Winter,heritage; local-experience; culture,"A immersive paragliding in Kaski, ideal for couples."
A0073,Boating - Kakre Bihar,Kakre Bihar,Wildlife,8 hrs,2600,Autumn,culture; offbeat; food,"A immersive boating in Kakre Bihar, ideal for families."
A0074,"Cultural Tour - Bishazari Tal (20,000 Lake)","Bishazari Tal (20,000 Lake)",Relaxation,3 hrs,3800,Autumn,wildlife; trekking; adventure,"A guided cultural tour in Bishazari Tal (20,000 Lake), ideal for solo travelers."
A0075,Boating - Purtighat,Purtighat,Trekking,4 hrs,12300,Spring,trekking; culture; adventure,"A immersive boating in Purtighat, ideal for couples."
A0076,Boating - Manakamana Temple,Manakamana Temple,Relaxation,6 hrs,9300,Summer,local-experience; offbeat; heritage; trekking,"A relaxing boating in Manakamana Temple, ideal for adventure seekers."
A0077,Cooking Class - Pilot Baba Ashram,Pilot Baba Ashram,Relaxation,2 hrs,13300,Winter,adventure; wildlife; photography,"A guided cooking class in Pilot Baba Ashram, ideal for solo travelers."
A0078,Cultural Tour - Ramechaap/Dolakha,Ramechaap/Dolakha,Wildlife,6 hrs,14700,Winter,wildlife; offbeat,"A relaxing cultural tour in Ramechaap/Dolakha, ideal for families."
A0079,Boating - Kudan,Kudan,Festival Tour,5 hrs,4200,Summer,photography; wildlife; trekking,"A thrilling boating in Kudan, ideal for adventure seekers."
A0080,"Cultural Tour - Fulbari , Siraha","Fulbari , Siraha",Cultural,3 hrs,12400,All Year,local-experience; relaxation,"A thrilling cultural tour in Fulbari , Siraha, ideal for couples."
A0081,Cultural Tour - Mul Dhoka,Mul Dhoka,Sightseeing,4 hrs,9100,Autumn,local-experience; offbeat,"A immersive cultural tour in Mul Dhoka, ideal for couples."
A0082,Zipline - Taudaha Lake,Taudaha Lake,Boat Ride,6 hrs,4700,All Year,heritage; photography; culture; local-experience,"A thrilling zipline in Taudaha Lake, ideal for solo travelers."
A0083,Bird Watching - Tansen City,Tansen City,Sightseeing,1 hrs,8800,Spring,offbeat; trekking; heritage,"A thrilling bird watching in Tansen City, ideal for adventure seekers."
A0084,Zipline - Sainamaina,Sainamaina,Cultural,6 hrs,5900,All Year,trekking; relaxation; offbeat; adventure,"A guided zipline in Sainamaina, ideal for families."
A0085,Temple Visit - IIlam,IIlam,Sightseeing,2 hrs,13500,Winter,offbeat; local-experience; adventure; photography,"A guided temple visit in IIlam, ideal for solo travelers."
A0086,Boating - Lamjung,Lamjung,Boat Ride,4 hrs,10500,Spring,photography; offbeat; relaxation,"A thrilling boating in Lamjung, ideal for solo travelers."
A0087,"Temple Visit - Sriyantuu, ilam","Sriyantuu, ilam",Wildlife,8 hrs,12300,Winter,food; offbeat,"A thrilling temple visit in Sriyantuu, ilam, ideal for solo travelers."
A0088,Cooking Class -  Hanuman Dhoka, Hanuman Dhoka,Cultural,4 hrs,14400,Winter,offbeat; food,"A thrilling cooking class in Hanuman Dhoka, ideal for couples."
A0089,Cooking Class - Karkineta( the source of Adhikhola River),Karkineta( the source of Adhikhola River),Wildlife,4 hrs,5400,All Year,offbeat; wildlife; trekking,"A guided cooking class in Karkineta( the source of Adhikhola River), ideal for adventure seekers."
A0090,Cycling - Kalamasi,Kalamasi,Trekking,1 hrs,8700,All Year,heritage; local-experience; offbeat,"A thrilling cycling in Kalamasi, ideal for families."
A0091,Cooking Class - Siraha,Siraha,Trekking,3 hrs,13000,Spring,relaxation; food; wildlife; trekking,"A thrilling cooking class in Siraha, ideal for families."
A0092,Cycling - Kaski,Kaski,Boat Ride,1 hrs,10200,All Year,offbeat; food; relaxation,"A thrilling cycling in Kaski, ideal for adventure seekers."
A0093,Zipline - IIlam,IIlam,Wildlife,1 hrs,7600,Autumn,adventure; wildlife; photography; trekking,"A immersive zipline in IIlam, ideal for solo travelers."
A0094,Cooking Class - Terhathum,Terhathum,Festival Tour,3 hrs,11700,Winter,relaxation; offbeat,"A thrilling cooking class in Terhathum, ideal for solo travelers."
A0095,Cultural Tour - Vivah Mandap,Vivah Mandap,Sightseeing,8 hrs,3400,All Year,local-experience; photography,"A immersive cultural tour in Vivah Mandap, ideal for adventure seekers."
A0096,"Boating - Urlabari, jhapa","Urlabari, jhapa",Festival Tour,1 hrs,14600,All Year,wildlife; adventure; offbeat,"A immersive boating in Urlabari, jhapa, ideal for adventure seekers."
A0097,Temple Visit - Hiledhap Wetland,Hiledhap Wetland,Trekking,3 hrs,5100,Spring,wildlife; local-experience,"A relaxing temple visit in Hiledhap Wetland, ideal for families."
A0098,Cycling - Sindhuli gadhi,Sindhuli gadhi,Relaxation,1 hrs,3900,Autumn,heritage; photography,"A immersive cycling in Sindhuli gadhi, ideal for solo travelers."
A0099,Zipline - Mathuradada,Mathuradada,Wildlife,5 hrs,9700,Autumn,relaxation; adventure; culture; heritage,"A relaxing zipline in Mathuradada, ideal for solo travelers."
A0100,Cultural Tour - Sindhupalchowk,Sindhupalchowk,Boat Ride,2 hrs,4300,Spring,culture; offbeat; adventure,"A guided cultural tour in Sindhupalchowk, ideal for families."
A0101,Jungle Safari - Baraha Kshetra,Baraha Kshetra,Relaxation,1 hrs,14100,All Year,heritage; culture,"A thrilling jungle safari in Baraha Kshetra, ideal for families."
A0102,Rafting - Kavre ,Kavre ,Sightseeing,1 hrs,3400,Spring,trekking; offbeat; wildlife; photography,"A thrilling rafting in Kavre , ideal for families."
A0103,Cooking Class - Nar Phu Valley Trek,Nar Phu Valley Trek,Festival Tour,5 hrs,9900,Winter,local-experience; trekking,"A thrilling cooking class in Nar Phu Valley Trek, ideal for families."
A0104,Paragliding - Manakamana Temple,Manakamana Temple,Cultural,5 hrs,6500,Autumn,wildlife; local-experience; adventure,"A relaxing paragliding in Manakamana Temple, ideal for couples."
A0105,Zipline - Gateway of Nepal (Shankaracharya Gate),Gateway of Nepal (Shankaracharya Gate),Workshop,2 hrs,12200,Spring,photography; food,"A relaxing zipline in Gateway of Nepal (Shankaracharya Gate), ideal for solo travelers."
A0106,Jungle Safari - Nagarkot,Nagarkot,Boat Ride,8 hrs,9000,Spring,culture; local-experience; wildlife,"A immersive jungle safari in Nagarkot, ideal for adventure seekers."
A0107,Paragliding - Jangchub Choeling Tibetan Monastery,Jangchub Choeling Tibetan Monastery,Boat Ride,1 hrs,9300,Summer,food; relaxation,"A immersive paragliding in Jangchub Choeling Tibetan Monastery, ideal for couples."
A0108,Bird Watching - Dang/Banke belt,Dang/Banke belt,Sightseeing,4 hrs,8400,Summer,culture; heritage,"A relaxing bird watching in Dang/Banke belt, ideal for families."
A0109,Cycling - Mechinagar,Mechinagar,Wildlife,6 hrs,3600,Summer,local-experience; culture; offbeat,"A guided cycling in Mechinagar, ideal for couples."
A0110,Jungle Safari - Lumbini Museum & Cultural Center,Lumbini Museum & Cultural Center,Photo Tour,6 hrs,5300,Spring,trekking; photography; offbeat,"A guided jungle safari in Lumbini Museum & Cultural Center, ideal for families."
A0111,Temple Visit - Baitadi,Baitadi,Boat Ride,6 hrs,13700,Winter,offbeat; relaxation; food; wildlife,"A guided temple visit in Baitadi, ideal for couples."
A0112,Cooking Class - Purkot,Purkot,Boat Ride,2 hrs,12600,Spring,relaxation; heritage,"A relaxing cooking class in Purkot, ideal for solo travelers."
A0113,Jungle Safari - Bhulbhule,Bhulbhule,Photo Tour,6 hrs,2300,Spring,adventure; wildlife; food,"A immersive jungle safari in Bhulbhule, ideal for solo travelers."
A0114,Zipline - Amayangri Hill ,Amayangri Hill ,Relaxation,5 hrs,3400,Spring,local-experience; heritage; offbeat; culture,"A guided zipline in Amayangri Hill , ideal for couples."
A0115,Cooking Class - Poon Hill,Poon Hill,Workshop,5 hrs,9700,All Year,adventure; offbeat; food; local-experience,"A guided cooking class in Poon Hill, ideal for adventure seekers."
A0116,Cycling - Chitwan,Chitwan,Wildlife,4 hrs,1900,Spring,local-experience; relaxation,"A guided cycling in Chitwan, ideal for couples."
A0117,Cooking Class - Gaukhureshor Mahadev Temple,Gaukhureshor Mahadev Temple,Festival Tour,6 hrs,10900,Summer,offbeat; heritage,"A guided cooking class in Gaukhureshor Mahadev Temple, ideal for couples."
A0118,Cultural Tour - Nuwakot Durbar,Nuwakot Durbar,Relaxation,5 hrs,2400,Summer,heritage; food; photography,"A immersive cultural tour in Nuwakot Durbar, ideal for families."
A0119,Zipline - Ghandruk,Ghandruk,Workshop,1 hrs,4200,Winter,offbeat; adventure; photography,"A thrilling zipline in Ghandruk, ideal for couples."
A0120,Boating - Shivalaya Temple,Shivalaya Temple,Relaxation,4 hrs,9900,Spring,trekking; offbeat; local-experience; photography,"A thrilling boating in Shivalaya Temple, ideal for families."
A0121,Jungle Safari - Mangal Bazaar,Mangal Bazaar,Workshop,3 hrs,5300,Spring,photography; adventure; heritage; offbeat,"A guided jungle safari in Mangal Bazaar, ideal for adventure seekers."
A0122,Cycling - Rara Lake,Rara Lake,Photo Tour,5 hrs,1500,Winter,offbeat; food; photography,"A thrilling cycling in Rara Lake, ideal for couples."
A0123,Rafting - Chhauni Museum,Chhauni Museum,Workshop,2 hrs,9600,Summer,photography; wildlife; relaxation; local-experience,"A relaxing rafting in Chhauni Museum, ideal for couples."
A0124,Jungle Safari - Kapilvastu,Kapilvastu,Photo Tour,8 hrs,14700,Autumn,relaxation; adventure; offbeat,"A guided jungle safari in Kapilvastu, ideal for solo travelers."
A0125,Jungle Safari - Banepa ,Banepa ,Workshop,6 hrs,3400,All Year,relaxation; culture; heritage,"A relaxing jungle safari in Banepa , ideal for adventure seekers."
A0126,Rafting - khumjung,khumjung,Trekking,8 hrs,8700,All Year,food; local-experience; photography,"A guided rafting in khumjung, ideal for couples."
A0127,Zipline - Lumbini,Lumbini,Wildlife,5 hrs,12600,All Year,adventure; local-experience,"A guided zipline in Lumbini, ideal for solo travelers."
A0128,Cycling - Ambikeshwari temple ,Ambikeshwari temple ,Sightseeing,3 hrs,14600,All Year,offbeat; adventure; trekking,"A guided cycling in Ambikeshwari temple , ideal for solo travelers."
A0129,Cultural Tour - Raja rani,Raja rani,Workshop,6 hrs,8600,Summer,photography; culture; trekking,"A immersive cultural tour in Raja rani, ideal for adventure seekers."
A0130,Cultural Tour - Gosaikunda,Gosaikunda,Trekking,3 hrs,7000,Summer,culture; wildlife,"A thrilling cultural tour in Gosaikunda, ideal for solo travelers."
A0131,Cycling - Kongde ri,Kongde ri,Wildlife,4 hrs,12100,Summer,adventure; trekking; wildlife; heritage,"A thrilling cycling in Kongde ri, ideal for adventure seekers."
A0132,Rafting - Patan,Patan,Cultural,5 hrs,5500,Spring,heritage; adventure; local-experience; food,"A immersive rafting in Patan, ideal for adventure seekers."
A0133,Temple Visit - Vimad,Vimad,Festival Tour,3 hrs,3300,Summer,wildlife; trekking; culture; relaxation,"A thrilling temple visit in Vimad, ideal for adventure seekers."
A0134,Jungle Safari - Rukmini Lake,Rukmini Lake,Workshop,2 hrs,4100,Winter,offbeat; food; trekking,"A relaxing jungle safari in Rukmini Lake, ideal for solo travelers."
A0135,Cultural Tour - Jyamrung Trek,Jyamrung Trek,Festival Tour,2 hrs,8000,Summer,relaxation; adventure; heritage,"A immersive cultural tour in Jyamrung Trek, ideal for families."
A0136,Bird Watching - Makwanpur,Makwanpur,Sightseeing,4 hrs,13100,Autumn,wildlife; photography; heritage,"A immersive bird watching in Makwanpur, ideal for families."
A0137,Zipline - Dattatraya and pottery Square,Dattatraya and pottery Square,Sightseeing,1 hrs,2300,Autumn,local-experience; food; relaxation,"A thrilling zipline in Dattatraya and pottery Square, ideal for solo travelers."
A0138,Temple Visit - Ghyampe Danda,Ghyampe Danda,Trekking,1 hrs,11000,Winter,culture; trekking; relaxation,"A relaxing temple visit in Ghyampe Danda, ideal for couples."
A0139,Boating - Dhading/Rasuwa,Dhading/Rasuwa,Workshop,8 hrs,11400,Spring,culture; heritage; local-experience,"A immersive boating in Dhading/Rasuwa, ideal for couples."
A0140,Cultural Tour - Chhauni Museum,Chhauni Museum,Photo Tour,6 hrs,7600,All Year,photography; food,"A immersive cultural tour in Chhauni Museum, ideal for couples."
A0141,Paragliding - Ghandruk,Ghandruk,Relaxation,6 hrs,5700,Summer,wildlife; adventure; food; culture,"A immersive paragliding in Ghandruk, ideal for families."
A0142,Cultural Tour - Khaiharwa Pokhari,Khaiharwa Pokhari,Wildlife,2 hrs,14200,Autumn,food; photography; heritage; trekking,"A immersive cultural tour in Khaiharwa Pokhari, ideal for solo travelers."
A0143,Zipline - Chisapani Kalika,Chisapani Kalika,Sightseeing,8 hrs,9300,Winter,culture; food,"A relaxing zipline in Chisapani Kalika, ideal for couples."
A0144,Zipline - Narayanhiti Palace,Narayanhiti Palace,Trekking,2 hrs,1500,Spring,offbeat; trekking; culture; local-experience,"A immersive zipline in Narayanhiti Palace, ideal for solo travelers."
A0145,Temple Visit - Birtamod,Birtamod,Wildlife,5 hrs,11900,All Year,wildlife; culture; photography,"A thrilling temple visit in Birtamod, ideal for families."
A0146,Temple Visit - Sukepokhari,Sukepokhari,Trekking,8 hrs,12600,Summer,trekking; offbeat,"A immersive temple visit in Sukepokhari, ideal for adventure seekers."
A0147,Temple Visit - Parsa,Parsa,Wildlife,2 hrs,12000,Autumn,trekking; relaxation; offbeat; heritage,"A guided temple visit in Parsa, ideal for solo travelers."
A0148,Cooking Class - Lalitpur,Lalitpur,Cultural,3 hrs,7000,All Year,trekking; photography; heritage,"A thrilling cooking class in Lalitpur, ideal for couples."
A0149,Boating - Chabahil Stupa,Chabahil Stupa,Cultural,6 hrs,11100,Autumn,food; offbeat; relaxation; adventure,"A thrilling boating in Chabahil Stupa, ideal for families."
A0150,Hiking - Latarambeshwor,Latarambeshwor,Festival Tour,4 hrs,10000,All Year,offbeat; adventure; local-experience; wildlife,"A guided hiking in Latarambeshwor, ideal for adventure seekers."
A0151,Rafting - Bhedetar & Namje Village,Bhedetar & Namje Village,Relaxation,3 hrs,4300,All Year,offbeat; wildlife,"A relaxing rafting in Bhedetar & Namje Village, ideal for couples."
A0152,Cycling - Dhankuta,Dhankuta,Cultural,2 hrs,3200,Winter,local-experience; food; wildlife; heritage,"A immersive cycling in Dhankuta, ideal for families."
A0153,Cycling - Gandaki,Gandaki,Festival Tour,8 hrs,8100,Winter,relaxation; offbeat; local-experience,"A immersive cycling in Gandaki, ideal for couples."
A0154,Boating - Garden Of Dreams,Garden Of Dreams,Adventure,6 hrs,13500,Autumn,heritage; adventure; trekking; culture,"A relaxing boating in Garden Of Dreams, ideal for solo travelers."
A0155,Cycling - Nigrodharam,Nigrodharam,Boat Ride,3 hrs,5100,Summer,culture; heritage; adventure,"A immersive cycling in Nigrodharam, ideal for couples."
A0156,Cycling - Gaurishankar conservation area,Gaurishankar conservation area,Wildlife,1 hrs,4700,Spring,culture; trekking; relaxation,"A relaxing cycling in Gaurishankar conservation area, ideal for adventure seekers."
A0157,Rafting - Bajura (Badimalika Temple),Bajura (Badimalika Temple),Workshop,5 hrs,6400,All Year,local-experience; wildlife,"A thrilling rafting in Bajura (Badimalika Temple), ideal for solo travelers."
