route_id,origin,destination,mode,duration,price_range,frequency,notes
T069,Bandipur,Kathmandu,Private Jeep,1 hrs,3393-9507 NPR,Weekly,Scenic route through hills
T070,Bhaktapur,Dhulikhel,Micro Van,9 hrs,1351-8087 NPR,Daily,Scenic route through hills
T071,Dhulikhel,Ilam,Micro Van,8 hrs,2882-5452 NPR,Weekly,Comfortable AC buses available
T072,Chitwan,Kathmandu,Private Jeep,10 hrs,3282-6637 NPR,Weekly,Limited seats in peak season
T073,Ilam,Lumbini,Flight,7 hrs,2204-6410 NPR,Twice a Day,Comfortable AC buses available
T074,Chitwan,Ilam,Micro Van,9 hrs,2024-9747 NPR,Weekly,Advance booking recommended
T075,Dhulikhel,Lumbini,Tourist Bus,4 hrs,3356-9853 NPR,Twice a Day,Advance booking recommended
T076,Chitwan,Dhulikhel,Micro Van,9 hrs,3643-9218 NPR,Twice a Day,Scenic route through hills
T077,Bandipur,Bhaktapur,Micro Van,10 hrs,3532-9818 NPR,Twice a Day,Advance booking recommended
T078,Ilam,Pokhara,Micro Van,2 hrs,903-7121 NPR,Daily,Scenic route through hills
T079,Pokhara,Lumbini,Flight,3 hrs,1973-9599 NPR,Twice a Day,Comfortable AC buses available
T080,Pokhara,Nagarkot,Tourist Bus,9 hrs,932-6939 NPR,Twice a Day,Scenic route through hills
T081,Dhulikhel,Lumbini,Micro Van,7 hrs,1773-8186 NPR,Weekly,Advance booking recommended
T082,Pokhara,Ilam,Private Jeep,7 hrs,3606-6562 NPR,Weekly,Scenic route through hills
T083,Pokhara,Nagarkot,Tourist Bus,10 hrs,3998-7630 NPR,Daily,Advance booking recommended
T084,Dhulikhel,Lumbini,Tourist Bus,5 hrs,2638-5454 NPR,Weekly,Scenic route through hills
T085,Chitwan,Dhulikhel,Micro Van,2 hrs,2345-4333 NPR,Twice a Day,Advance booking recommended
T086,Dhulikhel,Nagarkot,Tourist Bus,3 hrs,3192-6090 NPR,Daily,Advance booking recommended
T087,Bhaktapur,Chitwan,Bus,3 hrs,2121-8890 NPR,Daily,Advance booking recommended
T088,Bhaktapur,Bandipur,Bus,6 hrs,2952-5802 NPR,Daily,Scenic route through hills
T089,Dhulikhel,Chitwan,Private Jeep,9 hrs,2999-7305 NPR,Daily,Advance booking recommended
T090,Lumbini,Dhulikhel,Flight,6 hrs,2277-6405 NPR,Daily,Limited seats in peak season
T091,Dhulikhel,Pokhara,Bus,6 hrs,2625-5969 NPR,Weekly,Comfortable AC buses available
T092,Pokhara,Bandipur,Private Jeep,2 hrs,2380-6102 NPR,Weekly,Advance booking recommended
T093,Pokhara,Bandipur,Micro Van,9 hrs,2625-7988 NPR,Daily,Advance booking recommended
T094,Lumbini,Bandipur,Micro Van,2 hrs,1193-5372 NPR,Weekly,Scenic route through hills
T095,Kathmandu,Lumbini,Tourist Bus,7 hrs,1225-5685 NPR,Weekly,Limited seats in peak season
T096,Kathmandu,Chitwan,Bus,8 hrs,3736-6718 NPR,Daily,Scenic route through hills
T097,Kathmandu,Pokhara,Tourist Bus,5 hrs,3085-4578 NPR,Weekly,Comfortable AC buses available
T098,Nagarkot,Ilam,Private Jeep,8 hrs,3381-7314 NPR,Twice a Day,Advance booking recommended
T099,Pokhara,Ilam,Bus,9 hrs,824-9255 NPR,Weekly,Scenic route through hills
T100,Pokhara,Kathmandu,Flight,9 hrs,1234-6375 NPR,Weekly,Advance booking recommended
